Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
Feb 01 2018,0.991558,1.01,0.954771,0.986939,3498900000,2198420000,0.98
Jan 31 2018,0.992538,1.00,0.971403,0.990274,2663930000,2230370000,0.99
Jan 30 2018,0.998672,1.01,0.975436,0.986486,3108630000,2275070000,0.99
Jan 29 2018,0.988440,1.00,0.981718,0.995319,2031160000,2251760000,0.99
Jan 28 2018,0.996548,1.00,0.981275,0.988790,2546640000,1612500000,0.99
Jan 27 2018,1.00,1.01,0.992227,0.993325,2051980000,1622630000,1.00
Jan 26 2018,0.997571,1.02,0.985767,1.00,2957010000,1614160000,1.00
Jan 25 2018,1.01,1.01,0.987358,0.999595,2571930000,1627040000,1.00
Jan 24 2018,1.00,1.03,0.992246,0.997484,2620630000,1619450000,1.01
Jan 23 2018,1.00,1.02,0.984474,1.01,3126830000,1624560000,1.00
Jan 22 2018,1.00,1.02,0.991510,1.01,3274900000,1624570000,1.01
Jan 21 2018,1.00,1.03,0.997069,0.999861,3302010000,1622820000,1.01
Jan 20 2018,1.01,1.01,0.991443,1.00,2942780000,1629410000,1.00
Jan 19 2018,1.02,1.04,1.00,1.00,2876990000,1655830000,1.02
Jan 18 2018,1.02,1.04,1.00,1.02,4302300000,1646020000,1.02
Jan 17 2018,1.03,1.07,0.997739,1.01,5588840000,1671280000,1.03
Jan 16 2018,1.01,1.05,0.999001,1.03,5552930000,1478030000,1.02
Jan 15 2018,1.02,1.02,1.00,1.01,2557180000,1490690000,1.01
Jan 14 2018,1.00,1.04,1.00,1.02,2960410000,1474490000,1.02
Jan 13 2018,1.00,1.01,0.996576,1.00,2759880000,1474160000,1.00
Jan 12 2018,1.01,1.02,0.997711,1.01,2668220000,1477270000,1.01
Jan 11 2018,0.999976,1.02,0.990198,1.00,3841110000,1468050000,1.01
Jan 10 2018,1.01,1.01,0.996446,1.00,3189860000,1475650000,1.00
Jan 09 2018,1.01,1.01,1.00,1.01,2766180000,1480690000,1.00
Jan 08 2018,1.01,1.04,0.997617,1.01,3815750000,1475640000,1.02
Jan 07 2018,1.01,1.02,0.998208,1.00,2338180000,1478770000,1.01
Jan 06 2018,1.00,1.01,0.996847,1.01,2620080000,1468500000,1.00
Jan 05 2018,1.00,1.01,0.985915,0.998634,3096620000,1470660000,1.00
Jan 04 2018,1.01,1.02,0.993822,1.00,3200130000,1386140000,1.01
Jan 03 2018,1.01,1.02,1.00,1.01,2471690000,1377120000,1.01
Jan 02 2018,1.01,1.01,0.993250,1.00,2635860000,1375940000,1.00
Jan 01 2018,1.01,1.02,1.00,1.01,1685300000,1385260000,1.01
Dec 31 2017,1.02,1.02,1.00,1.01,1927010000,1401350000,1.01
Dec 30 2017,1.01,1.03,0.992842,1.02,2711060000,1378640000,1.01
Dec 29 2017,1.01,1.02,1.00,1.01,1929090000,1281970000,1.01
Dec 28 2017,1.00,1.03,1.00,1.01,2211410000,1222130000,1.02
Dec 27 2017,1.00,1.01,0.996458,1.00,1939950000,1223800000,1.00
Dec 26 2017,1.01,1.02,0.998580,1.00,1854780000,1230870000,1.01
Dec 25 2017,1.03,1.03,1.01,1.01,1708380000,1250340000,1.02
Dec 24 2017,1.05,1.07,1.02,1.02,2611590000,1279860000,1.04
Dec 23 2017,1.01,1.05,1.01,1.05,2353740000,1233180000,1.03
Dec 22 2017,1.01,1.06,0.963089,1.02,4687950000,1225820000,1.01
Dec 21 2017,1.00,1.04,0.993811,1.01,3106720000,1171760000,1.02
Dec 20 2017,1.01,1.02,0.989079,1.00,3751790000,1178880000,1.00
Dec 19 2017,1.01,1.03,0.996768,1.01,3073860000,1133710000,1.01
Dec 18 2017,1.01,1.02,0.995740,1.01,2517230000,1130790000,1.01
Dec 17 2017,1.01,1.02,1.00,1.01,1931020000,1132150000,1.01
Dec 16 2017,1.02,1.02,1.00,1.01,1592730000,1036710000,1.01
Dec 15 2017,1.01,1.02,0.995525,1.02,2044500000,1029020000,1.01
Dec 14 2017,1.03,1.05,1.01,1.01,2336180000,912768000,1.03
Dec 13 2017,1.08,1.09,1.02,1.03,2198140000,906935000,1.06
Dec 12 2017,1.02,1.08,1.00,1.08,2240840000,854806000,1.04
Dec 11 2017,1.01,1.03,0.999950,1.02,1542120000,824373000,1.01
Dec 10 2017,1.02,1.04,0.971536,1.02,1649500000,831978000,1.01
Dec 09 2017,1.02,1.05,0.993560,1.02,1598910000,830771000,1.02
Dec 08 2017,1.04,1.06,0.986563,1.02,1993030000,843587000,1.02
Dec 07 2017,1.01,1.08,1.00,1.03,1671610000,819775000,1.04
Dec 06 2017,0.999760,1.02,0.995840,1.01,1281490000,813822000,1.01
Dec 05 2017,1.00,1.01,0.996458,1.00,814146000,816872000,1.00
Dec 04 2017,1.00,1.01,0.992132,1.00,668510000,816012000,1.00
Dec 03 2017,1.00,1.03,0.985320,1.00,946749000,814847000,1.01
Dec 02 2017,1.01,1.02,0.995611,0.999654,679950000,770858000,1.01
Dec 01 2017,1.01,1.02,0.993043,1.01,749396000,769516000,1.01
Nov 30 2017,1.00,1.03,0.989319,1.01,1043970000,741868000,1.01
Nov 29 2017,1.00,1.05,0.955618,0.990606,1672120000,675058000,1.00
Nov 28 2017,1.00,1.01,0.996048,1.00,794764000,676908000,1.00
Nov 27 2017,1.01,1.02,0.998126,1.00,784437000,679525000,1.01
Nov 26 2017,1.00,1.02,1.00,1.01,636452000,677815000,1.01
Nov 25 2017,1.00,1.01,0.995076,1.01,651988000,676530000,1.00
Nov 24 2017,1.00,1.01,0.988004,1.00,848628000,677758000,1.00
Nov 23 2017,0.998658,1.01,0.992239,0.994631,735883000,674061000,1.00
Nov 22 2017,0.997427,1.00,0.992789,1.00,499812000,673230000,1.00
Nov 21 2017,1.00,1.01,0.988572,0.996047,622649000,677308000,1.00
Nov 20 2017,1.00,1.00,0.996538,1.00,449595000,675897000,1.00
Nov 19 2017,1.00,1.01,0.996693,1.00,485753000,645545000,1.00
Nov 18 2017,1.00,1.01,0.996340,1.00,588136000,644435000,1.00
Nov 17 2017,0.995758,1.01,0.995758,1.00,639398000,611413000,1.00
Nov 16 2017,1.01,1.01,0.993232,1.00,650279000,597473000,1.00
Nov 15 2017,1.00,1.01,1.00,1.00,449671000,596738000,1.00
Nov 14 2017,1.01,1.01,0.996898,1.01,429858000,597132000,1.00
Nov 13 2017,1.00,1.03,0.975103,1.01,767884000,596722000,1.00
Nov 12 2017,1.01,1.11,0.967601,1.01,1466060000,597638000,1.04
Nov 11 2017,1.01,1.03,0.995799,1.01,746228000,567436000,1.01
Nov 10 2017,1.01,1.02,0.995486,1.01,756446000,537534000,1.01
Nov 09 2017,1.01,1.01,0.996515,1.01,358188000,499434000,1.00
Nov 08 2017,1.00,1.04,0.994842,1.01,526849000,516370000,1.02
Nov 07 2017,0.999882,1.01,0.997083,1.01,255133000,494003000,1.00
Nov 06 2017,1.00,1.01,0.993269,1.00,308963000,495238000,1.00
Nov 05 2017,1.00,1.01,0.995977,0.998800,234616000,494444000,1.00
Nov 04 2017,1.00,1.01,0.994864,1.00,285312000,489255000,1.00
Nov 03 2017,0.999063,1.01,0.996363,1.01,358886000,451638000,1.00
Nov 02 2017,0.999853,1.04,0.996339,1.00,425130000,451995000,1.02
Nov 01 2017,1.00,1.00,0.995643,1.00,246324000,452561000,1.00
Oct 31 2017,0.998327,1.00,0.996871,1.00,184182000,451305000,1.00
Oct 30 2017,1.00,1.00,0.994665,1.00,169425000,452540000,1.00
Oct 29 2017,1.00,1.01,0.991302,1.00,618257000,438160000,1.00
Oct 28 2017,0.999838,1.01,0.998318,1.00,120414000,436991000,1.00
Oct 27 2017,0.999916,1.01,0.996415,1.00,144634000,437025000,1.00
Oct 26 2017,1.00,1.01,0.997739,0.999868,162258000,438063000,1.00
Oct 25 2017,1.00,1.01,0.995853,1.00,171433000,438042000,1.00
Oct 24 2017,0.994611,1.02,0.985114,1.00,257372000,434706000,1.00
Oct 23 2017,1.00,1.01,0.993556,0.996536,203487000,437656000,1.00
Oct 22 2017,0.999920,1.01,0.996909,1.00,166215000,437026000,1.00
Oct 21 2017,1.00,1.01,0.992774,1.00,171818000,437391000,1.00
Oct 20 2017,1.00,1.01,0.997444,1.00,185163000,437496000,1.00
Oct 19 2017,1.00,1.01,0.996000,1.00,150674000,438120000,1.00
Oct 18 2017,0.998946,1.01,0.991487,1.00,253904000,436601000,1.00
